# OBJECT NAME          RA        Dec      Epoch   Preferred   Guiding  Guider
#                   HH MM SS   DD MM SS           Pier Side   Star?    Position
#                                                             1-yes    [cm]
NGC7380             22 45 30   57 55 00   1960    E           1        4.3








Gaia18bcb           19 05 20  08 36 10  2000
Gaia18bes           07 17 56  40 59 08  2000
Gaia18bfx           06 44 47  56 45 31  2000
Gaia18cmk	    20 28 36  22 49 50  2000
Gaia18dmf	    19 41 56  34 24 52  2000
Gaia18dvy	    20 05 06  36 29 14  2000
Gaia19bcv           23 43 55  65 33 44  2000
Gaia19aik           20 14 46  40 15 27  2000
%Comet_ISON 06.03.2013:
Comet_ISON          06 47 00  31 24 22  2000  
Comet_PS            00 34 32  11 07 00  2000
CZ_Cam              03 58 44  69 01 00  2000
DI_Cam              04 28 42  79 42 06  2000
%Comet_Lovejoy 31.12.2013 4UT:
Lovejoy             17 26 41  20 39 42  2000
%Comet 21P/Giacobini-Zinner:
21P                 05 34 58  38 38 33  2000
CygOB2              20 33 04  41 18 00  2000
del_Ser             15 34 48  10 32 20  2000
Dembowska           10 33 29  15 08 27  2000
BS_Dra              19 56 29  73 36 58  2000   
EE_Cep              22 09 23  55 45 24  2000
eps_Cep             22 15 02  57 02 37  2000
FG_Sge              20 11 56  20 20 06  2000
FL_Lyr              19 12 05  46 19 27  2000
FR1                  4 30  0  55  0  0  2000 
G93_48              21 52 26  02 23 00  2000
Gaia14aaa           13 21 02  45 28 26  2000
GSC0321             14 29 15   2 30 06  2000
GSC2566		    15 22 22  32 58 45  2000
GSC2977              8 19 18  41 59 00  2000
GSC2988              8 46 10  43 04 31  2000
GSC3004             10 21 35  40 31 41  2000
GSC3832             11 48 42  54 43 08  2000
GSC3863             14 41 38  56 26 17  2000
GSC4552             11 24 25  77 42 16  2000
GSC4556             12 03 17  80 33 43  2000
HD256413            06 24 02  19 54 32  2000
HD12859             02 06 51  37 38 20  2000
HIP7707             01 39 13  51 49 12  2000
HP_Dra              18 54 54  51 18 30  2000
QSOB1215            12 17 52  30 07 00  2000
HIP582              00 07 96  62 23 34  2000
HD236462            00 33 17  56 32 38  2000
HIP20460            04 23 01  61 39 27  2000
Saturn              13 32 14  -6 43 00  2000
Veil                20 45 44  31 02 11  2000
Abell2151           16 05 15  17 44 55  2000
Kepler17b           19 53 35  47 48 54  2000
M71                 19 53 47  18 46 45  2000
Mercer20            19 12 25  09 57 20  2000
NovaCep2014         20 54 24  60 17 07  2000
NvCyg2014           20 21 43  31 03 30  2000
NGC6543             17 58 34  66 38 00  2000
NGC6503             17 49 27  70 08 37  2000
NGC7662             23 25 54  42 32 06  2000
NGC7640             23 22 07  40 50 43  2000
NGC7318             22 35 58  33 57 56  2000
NN_Del              20 46 49  07 33 10  2000
PTF12gzk            22 12 42  00 30 43  2000
